
# Surface 0 of 1 surfaces

# Curve title: ""pgf-graphs-01_contourtmp5.dat""

# Contour 0, label:      1.5
 1.99998  0.00289576  1.5 
 1.83332  0.00548563  1.5 
 1.66665  0.00983037  1.5 
 1.49999  0.0166633  1.5 
 1.33332  0.0267209  1.5 
 1.16665  0.0405328  1.5 
 0.999988  0.0581608  1.5 
 0.833322  0.0789463  1.5 
 0.666656  0.10137  1.5 
 0.49999  0.123125  1.5 
 0.333324  0.14147  1.5 
 0.166658  0.153774  1.5 
-8.3e-06  0.158124  1.5 
-0.166674  0.153774  1.5 
-0.33334  0.14147  1.5 
-0.500006  0.123123  1.5 
-0.666672  0.101367  1.5 
-0.833338  0.078944  1.5 
-1  0.058159  1.5 
-1.16667  0.040531  1.5 
-1.33334  0.0267197  1.5 
-1.5  0.0166626  1.5 
-1.66667  0.00982973  1.5 
-1.83333  0.0054853  1.5 
-2  0.00289555  1.5 


# Contour 1, label:        1
 1.99998  0.00673818  1 
 1.83332  0.0127645  1 
 1.66665  0.0228736  1 
 1.49999  0.0387744  1 
 1.33332  0.0621775  1 
 1.16665  0.094316  1 
 0.999988  0.135327  1 
 0.833322  0.183725  1 
 0.666656  0.235854  1 
 0.49999  0.286553  1 
 0.333324  0.329261  1 
 0.166658  0.357871  1 
-8.3e-06  0.36797  1 
-0.166674  0.357871  1 
-0.33334  0.329261  1 
-0.500006  0.286553  1 
-0.666672  0.235854  1 
-0.833338  0.183725  1 
-1  0.135327  1 
-1.16667  0.0943114  1 
-1.33334  0.0621747  1 
-1.5  0.0387724  1 
-1.66667  0.0228726  1 
-1.83333  0.0127636  1 
-2  0.00673778  1 


# Contour 2, label:      0.5
 1.99998  0.00713226  0.5 
 1.83332  0.0135113  0.5 
 1.66665  0.0242118  0.5 
 1.49999  0.0410426  0.5 
 1.33332  0.0658091  0.5 
 1.16665  0.0998235  0.5 
 0.999988  0.143278  0.5 
 0.833322  0.194492  0.5 
 0.666656  0.249706  0.5 
 0.49999  0.303316  0.5 
 0.333324  0.34853  0.5 
 0.166658  0.378785  0.5 
-8.3e-06  0.389484  0.5 
-0.166674  0.378785  0.5 
-0.33334  0.34853  0.5 
-0.500006  0.303316  0.5 
-0.666672  0.249706  0.5 
-0.833338  0.194492  0.5 
-1  0.143278  0.5 
-1.16667  0.0998235  0.5 
-1.33334  0.0658091  0.5 
-1.5  0.0410407  0.5 
-1.66667  0.0242107  0.5 
-1.83333  0.0135104  0.5 
-2  0.00713178  0.5 


# Contour 3, label:        0
 1.99998 -4.16119e-09  0 
 1.83332 -7.888e-09  0 
 1.66665 -1.41336e-08  0 
 1.49999 -2.40695e-08  0 
 1.33332 -3.90081e-08  0 
 1.16665 -5.80133e-08  0 
 0.999988 -8.38266e-08  0 
 0.833322 -1.12958e-07  0 
 0.666656 -1.4599e-07  0 
 0.49999 -1.77611e-07  0 
 0.333324 -2.03339e-07  0 
 0.166658 -2.21599e-07  0 
-8.3e-06 -2.25583e-07  0 
-0.166674 -2.21599e-07  0 
-0.33334 -2.03339e-07  0 
-0.500006 -1.77611e-07  0 
-0.666672 -1.45243e-07  0 
-0.833338 -1.13704e-07  0 
-1 -8.29135e-08  0 
-1.16667 -5.80133e-08  0 
-1.33334 -3.90081e-08  0 
-1.5 -2.40695e-08  0 
-1.66667 -1.41326e-08  0 
-1.83333 -7.88597e-09  0 
-2 -4.16208e-09  0 


# Contour 4, label:     -0.5
 1.99998 -0.00713235 -0.5 
 1.83332 -0.0135113 -0.5 
 1.66665 -0.0242118 -0.5 
 1.49999 -0.0410429 -0.5 
 1.33332 -0.0658103 -0.5 
 1.16665 -0.0998253 -0.5 
 0.999988 -0.143281 -0.5 
 0.833322 -0.194496 -0.5 
 0.666656 -0.249711 -0.5 
 0.49999 -0.303321 -0.5 
 0.333324 -0.348536 -0.5 
 0.166658 -0.378791 -0.5 
-8.3e-06 -0.389491 -0.5 
-0.166674 -0.378791 -0.5 
-0.33334 -0.348536 -0.5 
-0.500006 -0.303321 -0.5 
-0.666672 -0.249711 -0.5 
-0.833338 -0.194496 -0.5 
-1 -0.143281 -0.5 
-1.16667 -0.0998253 -0.5 
-1.33334 -0.0658103 -0.5 
-1.5 -0.0410408 -0.5 
-1.66667 -0.0242107 -0.5 
-1.83333 -0.0135105 -0.5 
-2 -0.00713188 -0.5 


# Contour 5, label:       -1
 1.99998 -0.00673826 -1 
 1.83332 -0.0127642 -1 
 1.66665 -0.0228736 -1 
 1.49999 -0.0387745 -1 
 1.33332 -0.0621779 -1 
 1.16665 -0.0943162 -1 
 0.999988 -0.135331 -1 
 0.833322 -0.183731 -1 
 0.666656 -0.235862 -1 
 0.49999 -0.286562 -1 
 0.333324 -0.329273 -1 
 0.166658 -0.357883 -1 
-8.3e-06 -0.367873 -1 
-0.166674 -0.357883 -1 
-0.33334 -0.329183 -1 
